py,APPROACHES_FROM_100_125_YARDS,APPROACHES_FROM_100_125_YARDS_RGH,APPROACHES_FROM_125_150_YARDS,APPROACHES_FROM_125_150_YARDS_RGH,APPROACHES_FROM_150_175_YARDS,APPROACHES_FROM_150_175_YARDS_RGH,APPROACHES_FROM_175_200_YARDS,APPROACHES_FROM_175_200_YARDS_RGH,APPROACHES_FROM_200_225_YARDS,APPROACHES_FROM_200_225_YARDS_RGH,APPROACHES_FROM_225_250_YARDS,APPROACHES_FROM_225_250_YARDS_RGH,APPROACHES_FROM_250_275_YARDS,APPROACHES_FROM_250_275_YARDS_RGH,APPROACHES_FROM_INSIDE_100_YARDS,APPROACHES_FROM_INSIDE_100_YARDS_RGH,BIRDIE_AVE,BIRDIE_OR_BETTER_CONVESION_PERCENTAGE,BIRDIE_OR_BETTER_PERCENTAGE,BIRDIE_OR_BETTER_PERCENTAGE_FAIRWAY,BIRDIE_OR_BETTER_PERCENTAGE_ROUGH,BOUNCE_BACK,CLUB_HEAD_SPEED,DRIVING_ACCURACY_PERCENTAGE,DRIVING_DISTANCE,EAGLES_HOLES_PER,FAIRWAY_PROXIMITY,FEDEX_REGULAR_SEASON_POINTS,FINAL_ROUND_PERFORMANCE,GREENS_IN_REGULATION_PERCENTAGE,PAR_3_SCORING_AVERAGE,PAR_4_SCORING_AVERAGE,PAR_5_SCORING_AVERAGE,PUTTING_FROM_10_15ft,PUTTING_FROM_15_20ft,PUTTING_FROM_20_25ft,PUTTING_FROM_25ft_plus,PUTTING_INSIDE_10ft,PUTTS_PER_ROUND,ROUGH_PROXIMITY,SAND_SAVE_PERCENTAGE,PLAYER,SEASON_CURRENT,PERCENTAGE_OF_WINNING_PTS,SEASON_NEXT,NEXT_PERCENTAGE_OF_WINNING_PTS
2015_Fabián Gómez,243,301,269,428,306,500,377,678,476,763,691,974,992,312,201,343,3.6,30.38,20.08,23.15,8.98,17.37,111.86,60.88,283.2,1494.0,363,797,46.67,63.52,3.03,4.06,4.71,30.33,22.3,8.42,8.62,87.96,28.72,536,39.84,Fabián Gómez,2015,0.19117294315183497,2016,0.3378427787934187
2015_Francesco Molinari,188,380,266,434,307,589,365,651,497,990,672,1071,1126,1108,160,355,3.26,24.85,18.45,19.62,13.21,19.84,110.49,76.88,281.6,318.0,357,558,41.67,71.07,3.11,4.01,4.64,29.73,20.19,6.98,3.37,88.18,29.94,619,48.61,Francesco Molinari,2015,0.13384504677380668,2016,0.20109689213893966
2015_Gary Woodland,224,353,259,405,360,507,375,628,442,776,639,978,710,1113,222,394,3.49,28.6,19.97,20.99,15.27,24.3,121.14,56.21,305.5,166.5,386,1037,64.29,66.74,3.08,4.06,4.67,32.14,12.63,11.43,6.49,87.65,29.53,553,43.27,Gary Woodland,2015,0.24874070520508515,2016,0.3316270566727605
2015_Geoff Ogilvy,287,382,338,424,378,519,413,623,473,626,567,926,877,1219,209,322,3.4,27.4,19.21,22.09,10.77,17.5,114.01,59.59,293.7,288.0,418,350,60.0,66.55,3.1,4.08,4.71,25.77,8.7,14.55,7.19,84.97,30.44,528,41.33,Geoff Ogilvy,2015,0.0839529863276565,2016,0.10347349177330896
2015_George McNeill,216,449,289,375,311,413,365,642,504,606,624,683,900,696,216,259,3.63,30.09,20.67,22.11,16.61,19.42,115.69,64.1,286.2,209.3,373,715,68.42,66.43,3.02,4.02,4.65,34.92,20.22,12.69,4.16,87.89,29.01,512,53.68,George McNeill,2015,0.17150395778364116,2016,0.048994515539305304
2015_Graham DeLaet,257,379,256,447,317,502,384,666,459,720,649,863,664,855,222,387,3.6,29.21,20.6,22.67,9.25,17.37,117.83,65.46,298.7,167.1,364,545,30.77,69.15,2.98,4.06,4.58,28.77,15.65,8.75,4.2,88.94,29.26,534,50.54,Graham DeLaet,2015,0.13072679299592227,2016,0.17806215722120658
2015_Harris English,236,435,267,400,319,472,379,569,470,750,620,816,793,1001,234,331,3.72,30.0,21.13,23.08,13.37,19.11,117.74,58.51,298.4,204.0,367,932,60.87,67.05,3.03,4.01,4.61,30.0,20.74,15.32,4.7,89.68,28.83,524,47.89,Harris English,2015,0.2235548093067882,2016,0.3773308957952468
2015_Hideki Matsuyama,221,306,244,425,300,443,351,553,457,820,555,991,864,882,195,381,4.07,32.41,23.44,26.39,14.89,18.98,114.39,65.25,294.5,117.0,353,1374,80.95,69.2,3.05,3.96,4.6,29.0,19.08,12.71,6.27,87.81,28.79,507,48.82,Hideki Matsuyama,2015,0.32957543775485726,2016,0.536745886654479
2015_Hudson Swafford,245,385,271,380,343,512,388,580,422,843,560,835,628,581,196,302,3.91,31.62,22.34,24.29,14.96,23.75,121.43,63.34,298.9,155.5,350,554,44.44,68.54,3.05,4.02,4.61,32.13,23.73,14.29,5.83,88.24,29.32,514,41.73,Hudson Swafford,2015,0.13288558407291917,2016,0.22047531992687386
2015_Hunter Mahan,259,367,294,449,349,493,454,624,525,895,676,1024,890,473,202,280,3.57,29.21,20.24,21.7,13.24,24.67,112.11,58.91,295.1,252.0,419,648,47.37,65.79,3.14,4.01,4.67,30.23,30.63,12.09,4.69,88.3,28.98,525,54.19,Hunter Mahan,2015,0.15543295754377548,2016,0.06361974405850092
2015_J.B. Holmes,217,323,251,400,350,545,389,628,537,750,693,986,784,1007,184,382,4.04,34.64,23.4,26.3,16.85,26.77,120.62,54.05,309.9,102.0,381,1484,44.44,63.66,3.07,4.02,4.59,31.15,20.18,11.25,5.6,87.02,28.32,503,48.65,J.B. Holmes,2015,0.35596066202926363,2016,0.3495429616087751
2015_J.J. Henry,236,372,261,435,357,529,415,719,492,755,742,954,860,1129,223,333,3.04,24.09,17.53,19.1,8.75,15.83,113.84,60.29,292.3,162.0,369,620,41.18,69.88,3.04,4.06,4.67,24.75,11.45,4.11,5.75,88.49,30.24,562,40.19,J.J. Henry,2015,0.14871671863756297,2016,0.05923217550274223
2015_James Hahn,202,342,263,351,329,546,411,653,459,819,609,734,833,1245,197,394,3.62,29.54,20.63,22.57,15.5,18.6,114.12,59.89,295.1,188.0,352,1012,63.16,66.13,3.03,4.04,4.67,27.68,16.79,17.6,6.27,87.02,29.0,528,55.47,James Hahn,2015,0.24274406332453827,2016,0.3210237659963437
2015_Jason Bohn,207,388,281,281,313,446,362,656,429,790,520,836,694,896,202,343,3.98,31.09,22.46,23.35,13.33,24.3,108.49,71.58,277.1,285.0,344,1037,65.0,68.89,3.0,3.97,4.66,34.6,18.44,12.69,5.67,88.68,28.54,494,46.15,Jason Bohn,2015,0.24874070520508515,2016,0.24387568555758685
2015_Jason Day,237,344,282,401,319,619,393,535,421,894,606,958,845,1361,180,300,4.71,36.76,27.08,28.85,19.61,34.44,120.16,55.94,313.7,108.0,370,2459,88.24,70.83,2.94,3.93,4.55,30.26,15.89,19.75,8.87,89.6,28.44,500,61.11,Jason Day,2015,0.5898296953705925,2016,1.0
2015_Jason Dufner,205,262,258,407,322,455,374,631,451,751,640,891,746,948,181,260,3.6,28.32,20.78,20.59,16.99,22.83,112.3,67.81,286.7,131.4,355,546,25.0,69.03,3.11,4.03,4.66,24.5,20.48,14.29,6.9,84.08,29.6,530,41.73,Jason Dufner,2015,0.13096665867114415,2016,0.4654478976234004
2015_Jason Gore,250,376,252,383,277,439,355,545,436,835,718,970,851,878,251,221,3.75,30.89,21.45,24.34,17.49,23.96,112.76,66.67,290.4,162.0,348,564,33.33,67.52,3.02,4.04,4.72,31.68,20.61,13.0,4.42,86.0,29.4,502,50.51,Jason Gore,2015,0.13528424082513793,2016,0.11224862888482633
2015_Jason Kokrak,246,361,271,402,317,456,400,559,447,782,603,937,889,965,229,305,3.84,30.39,21.72,22.08,20.54,21.94,119.82,56.41,305.6,264.0,375,614,37.5,67.3,3.08,4.03,4.59,23.74,18.05,9.63,5.75,87.57,28.99,505,48.0,Jason Kokrak,2015,0.14727752458623172,2016,0.2636197440585009
2015_Jeff Overton,211,334,255,387,353,481,371,656,524,835,648,743,765,1037,184,299,3.51,28.66,19.99,21.9,14.93,18.58,110.11,58.87,284.8,207.0,361,458,52.94,65.7,3.02,4.05,4.68,32.67,16.35,7.96,4.5,87.78,28.78,527,48.05,Jeff Overton,2015,0.1098584792516191,2016,0.1056672760511883
2015_Jerry Kelly,273,383,259,408,327,549,404,591,504,902,612,826,950,728,205,346,3.84,31.45,21.45,22.11,15.34,21.11,106.85,70.45,277.2,711.0,381,632,60.0,65.96,2.97,4.01,4.65,36.19,16.67,15.63,4.53,88.0,28.46,520,48.65,Jerry Kelly,2015,0.15159510674022547,2016,0.2530164533820841
2015_Jhonattan Vegas,253,361,316,441,372,508,418,700,455,788,672,957,631,1009,226,321,3.41,28.68,19.7,21.0,13.62,16.39,122.51,56.01,299.9,129.0,402,353,17.65,65.44,3.08,4.06,4.65,35.08,20.8,14.42,5.23,86.96,29.29,570,45.79,Jhonattan Vegas,2015,0.08467258335332215,2016,0.40914076782449726
2015_Jim Herman,220,354,274,434,313,554,381,689,455,628,550,813,735,1099,213,370,3.59,26.68,20.27,21.73,13.68,21.7,114.98,67.1,293.8,316.8,347,610,53.33,73.23,3.0,4.02,4.65,22.88,17.88,8.8,5.9,88.75,30.22,546,51.75,Jim Herman,2015,0.1463180618853442,2016,0.33747714808043877
2015_Jimmy Walker,206,424,256,430,317,616,396,679,465,794,562,883,823,795,185,299,4.07,33.43,23.0,27.32,13.09,23.32,116.89,52.23,301.6,258.0,354,2014,60.0,66.09,3.04,4.03,4.56,37.78,25.38,17.05,4.83,88.54,28.7,569,53.42,Jimmy Walker,2015,0.48308946989685775,2016,0.4943327239488117
2015_John Huh,223,350,269,461,339,583,390,824,509,723,687,950,996,991,211,327,3.35,28.43,19.25,20.96,11.63,19.92,109.06,69.44,279.8,151.5,406,565,68.42,64.85,3.03,4.04,4.68,33.2,19.89,16.43,4.37,87.16,28.71,620,51.63,John Huh,2015,0.1355241065003598,2016,0.1923217550274223
2015_John Senden,244,481,276,460,343,520,389,544,533,697,625,926,760,1075,199,353,3.69,29.99,20.89,23.38,11.18,27.65,119.07,66.6,290.2,270.0,402,610,64.29,67.26,3.06,4.06,4.65,31.3,13.54,9.59,4.6,86.88,29.53,552,50.0,John Senden,2015,0.1463180618853442,2016,0.2109689213893967
2015_Johnson Wagner,236,343,244,422,343,530,372,625,467,682,641,1091,866,981,226,391,3.47,28.0,19.69,21.4,12.11,21.56,113.33,62.11,290.7,244.8,353,551,70.0,68.95,2.97,4.04,4.67,31.82,13.43,12.94,5.6,89.63,29.37,519,44.44,Johnson Wagner,2015,0.13216598704725355,2016,0.2186471663619744
2015_Jon Curran,226,328,264,435,334,523,410,595,542,671,606,750,1039,1116,177,328,3.35,27.33,18.78,18.88,11.54,21.29,106.17,67.46,273.5,711.0,369,540,58.33,66.39,3.03,4.03,4.72,26.29,16.15,13.33,4.84,89.01,29.28,510,57.14,Jon Curran,2015,0.1295274646198129,2016,0.3071297989031079
2015_Jonas Blixt,243,399,288,410,338,455,426,696,546,821,666,949,721,1132,199,305,3.59,30.66,20.57,22.4,15.82,22.62,111.36,60.26,287.6,166.5,381,471,41.67,62.71,3.08,4.05,4.65,29.77,20.69,14.81,6.67,86.8,28.56,519,56.64,Jonas Blixt,2015,0.11297673302950348,2016,0.20914076782449725
2015_Jordan Spieth,225,237,247,482,309,495,373,523,422,806,624,596,664,1089,220,220,4.5,35.51,25.69,26.24,21.08,27.46,112.79,62.91,291.8,144.0,359,4169,80.0,67.87,2.99,3.93,4.59,30.59,27.89,25.93,7.26,88.2,27.82,451,58.14,Jordan Spieth,2015,1.0,2016,0.7184643510054844
2015_Justin Rose,236,388,266,406,321,516,341,632,430,493,597,763,755,948,149,306,4.44,34.25,24.83,28.75,14.58,22.78,117.1,63.87,303.5,594.0,355,1742,64.29,70.54,3.01,4.0,4.54,31.03,24.18,10.42,5.02,87.24,29.17,488,60.75,Justin Rose,2015,0.4178460062365076,2016,0.30310786106032905
2015_Justin Thomas,225,314,256,442,298,544,363,590,475,646,667,916,754,1251,182,294,4.15,33.61,23.9,25.2,18.79,21.79,116.34,58.24,303.2,119.3,358,1007,34.78,68.92,3.03,4.01,4.49,26.94,14.65,7.94,5.48,88.54,28.64,515,49.64,Justin Thomas,2015,0.24154473494842887,2016,0.5528336380255942
2015_Keegan Bradley,245,356,282,437,286,562,407,648,495,694,516,799,670,1092,250,304,3.85,31.34,21.83,23.43,16.76,23.21,117.87,64.85,306.1,216.0,371,759,68.42,67.53,3.05,4.03,4.58,31.93,16.67,19.15,3.57,87.77,29.49,539,44.88,Keegan Bradley,2015,0.1820580474934037,2016,0.19926873857404023
2015_Ken Duke,271,382,264,402,340,487,388,604,483,937,643,938,826,855,170,203,3.51,28.98,19.91,21.01,12.65,17.95,110.2,67.91,278.1,228.9,368,493,43.75,64.17,3.1,4.05,4.68,28.81,19.48,9.9,5.97,86.06,29.01,544,48.82,Ken Duke,2015,0.11825377788438475,2016,0.1129798903107861
2015_Kevin Chappell,253,341,286,410,320,460,348,662,477,872,580,1132,703,592,228,349,3.77,31.21,21.51,23.97,13.52,19.75,118.61,63.86,293.5,172.0,359,602,47.06,66.02,3.08,4.02,4.63,35.03,20.67,12.73,5.83,87.19,28.95,544,45.93,Kevin Chappell,2015,0.1443991364835692,2016,0.519926873857404
2015_Kevin Kisner,229,370,282,414,324,485,381,641,486,967,522,592,775,1046,222,319,3.53,28.19,19.93,21.35,15.74,21.48,111.11,66.85,287.8,312.0,369,1416,76.19,66.24,3.03,4.02,4.61,26.56,17.19,11.35,5.12,89.78,28.72,514,50.0,Kevin Kisner,2015,0.33964979611417606,2016,0.5451553930530164
2015_Kevin Na,206,367,255,437,344,548,371,619,525,745,654,699,841,1064,211,302,3.89,32.12,21.99,23.84,15.81,25.42,112.65,62.51,280.1,285.0,374,1062,40.91,64.56,3.0,4.01,4.65,25.56,22.83,16.35,5.86,88.2,28.35,572,63.19,Kevin Na,2015,0.25473734708563206,2016,0.5590493601462523
2015_Kevin Streelman,230,325,264,500,304,504,382,585,503,645,678,1158,830,875,209,299,3.49,28.26,19.78,20.84,13.13,21.72,113.32,68.63,289.5,273.0,377,771,30.0,68.99,3.05,4.02,4.7,25.0,19.08,10.94,6.03,86.86,29.65,525,47.1,Kevin Streelman,2015,0.1849364355960662,2016,0.2530164533820841
2015_Kyle Reifers,224,323,275,456,348,545,411,647,561,696,666,994,895,1209,201,295,3.52,28.79,19.87,21.04,13.67,17.55,111.94,61.59,288.0,331.2,392,626,62.5,67.03,3.03,4.03,4.68,28.57,22.0,12.5,4.23,87.14,29.16,513,55.63,Kyle Reifers,2015,0.15015591268889422,2016,0.30018281535648994
2015_Louis Oosthuizen,259,309,266,433,326,500,357,659,432,620,611,706,831,934,189,243,3.76,30.66,21.6,21.09,18.5,25.77,114.57,59.84,298.8,141.8,369,1088,61.54,68.28,3.06,4.0,4.61,27.27,14.44,16.44,6.74,87.76,29.19,481,60.82,Louis Oosthuizen,2015,0.2609738546414008,2016,0.28117001828153565
2015_Lucas Glover,218,305,244,421,308,547,371,560,421,814,564,960,725,765,184,292,3.59,27.73,20.46,22.64,9.01,15.97,116.34,63.82,296.9,203.1,332,375,58.33,70.46,3.07,4.07,4.66,21.53,15.23,7.2,3.79,83.8,30.54,529,49.11,Lucas Glover,2015,0.0899496282082034,2016,0.2146252285191956
2015_Luke Donald,251,342,230,403,295,470,405,623,538,779,648,873,899,923,192,395,3.24,26.16,18.15,20.58,14.02,23.08,109.64,59.28,277.0,639.0,369,484,46.67,65.57,3.04,4.05,4.69,25.64,16.5,20.48,6.73,88.2,29.17,550,61.17,Luke Donald,2015,0.11609498680738786,2016,0.3104204753199269
2015_Luke Guthrie,230,418,281,406,335,574,357,593,485,776,557,1001,914,962,190,261,3.63,30.81,20.6,22.71,13.83,18.55,111.0,58.86,283.9,246.0,362,373,21.43,63.75,3.03,4.04,4.77,32.96,17.61,17.89,7.32,86.69,28.7,538,50.85,Luke Guthrie,2015,0.08946989685775965,2016,0.08555758683729434
2015_Marc Leishman,235,351,267,452,290,488,376,580,521,906,619,721,848,1052,233,321,3.7,29.73,20.87,22.29,15.75,24.88,115.69,54.99,294.8,315.0,376,854,69.23,65.62,3.04,4.04,4.66,35.19,14.58,12.35,2.25,87.68,28.99,551,49.57,Marc Leishman,2015,0.2048452866394819,2016,0.2797074954296161
2015_Mark Hubbard,241,358,298,392,332,549,389,647,503,824,564,794,840,1107,213,264,3.55,28.46,19.91,21.21,12.0,18.23,111.16,66.32,278.5,462.0,379,274,46.67,66.81,3.01,4.06,4.62,27.45,19.47,7.84,5.82,88.08,29.23,540,53.78,Mark Hubbard,2015,0.06572319501079396,2016,0.18391224862888483
2015_Mark Wilson,204,364,251,364,344,500,400,619,522,742,665,985,800,1366,210,303,3.45,27.48,19.41,20.8,13.36,25.0,107.25,64.53,279.2,382.5,367,497,75.0,67.84,3.03,4.03,4.73,28.44,14.29,11.2,5.77,87.03,29.35,520,54.63,Mark Wilson,2015,0.11921324058527225,2016,0.08226691042047532
2015_Martin Laird,242,396,283,434,358,491,402,637,449,715,641,980,620,726,191,349,3.61,29.77,20.71,21.68,17.39,21.84,116.35,58.54,300.5,154.0,380,628,71.43,66.31,3.02,4.03,4.67,26.87,21.99,13.46,5.29,87.72,29.12,510,51.82,Martin Laird,2015,0.15063564403933796,2016,0.22120658135283364
2015_Matt Jones,233,351,300,511,378,488,433,616,549,780,655,886,820,1213,189,357,3.97,33.57,22.61,25.03,15.23,18.38,116.27,59.7,296.0,172.0,414,821,57.89,64.05,3.05,4.02,4.59,33.7,21.31,14.61,9.71,86.82,28.25,555,54.04,Matt Jones,2015,0.19692971935716,2016,0.16270566727605118
2015_Matt Kuchar,223,446,264,401,348,461,404,589,516,850,656,1054,957,1217,191,264,3.85,32.2,22.22,24.0,15.36,24.2,110.53,63.23,288.5,120.9,389,1164,60.87,66.55,3.07,3.99,4.54,31.2,15.94,15.96,7.0,88.55,28.39,519,61.49,Matt Kuchar,2015,0.27920364595826336,2016,0.493235831809872
2015_Michael Thompson,253,433,295,487,340,523,415,680,536,708,630,736,693,1064,227,329,3.6,30.04,20.58,23.18,14.13,20.93,112.56,58.24,289.3,182.3,389,378,50.0,65.43,3.05,4.07,4.66,31.41,17.56,11.45,6.43,88.03,29.35,554,48.92,Michael Thompson,2015,0.09066922523386903,2016,0.12431444241316271
2015_Morgan Hoffmann,250,373,254,434,366,478,450,606,515,752,623,837,735,1355,225,252,3.62,32.08,20.78,22.06,17.03,25.0,113.63,54.83,296.1,153.0,403,627,47.06,61.11,3.12,4.04,4.62,34.22,21.3,11.76,4.4,87.7,28.29,515,48.67,Morgan Hoffmann,2015,0.1503957783641161,2016,0.1550274223034735
2015_Nick Taylor,262,380,295,443,340,516,393,627,498,693,664,768,637,864,182,298,3.69,30.93,20.76,24.11,13.03,21.05,111.51,56.05,292.3,409.5,374,549,43.75,64.41,3.02,4.07,4.67,32.91,17.76,12.39,4.68,86.81,28.8,507,50.0,Nick Taylor,2015,0.13168625569680978,2016,0.16124314442413162
2015_Padraig Harrington,264,445,270,480,332,510,378,648,529,798,690,784,693,1135,224,327,3.32,29.38,18.61,19.27,14.75,20.1,114.07,51.72,290.5,540.0,383,610,37.5,61.02,3.1,4.11,4.76,29.01,23.17,9.23,6.02,85.38,29.15,585,59.79,Padraig Harrington,2015,0.1463180618853442,2016,0.1436928702010969
2015_Patrick Reed,245,358,278,406,324,453,389,673,496,842,579,925,746,854,207,312,3.92,32.34,22.28,24.62,18.79,21.29,117.85,54.78,292.9,200.0,375,1593,45.83,64.42,3.03,4.0,4.61,37.17,20.63,18.75,5.61,87.08,28.16,510,52.24,Patrick Reed,2015,0.38210602062844806,2016,0.5758683729433273
2015_Paul Casey,218,302,231,361,282,468,380,622,432,732,535,1161,821,1016,200,332,3.84,29.61,22.02,23.7,19.92,24.64,117.16,64.16,297.8,147.6,337,1389,72.22,72.36,3.05,3.99,4.58,33.5,20.51,15.0,5.46,87.04,29.77,498,38.46,Paul Casey,2015,0.3331734228831854,2016,0.2595978062157221
2015_Phil Mickelson,287,406,284,557,325,520,433,555,482,845,587,975,620,1019,172,316,3.97,34.33,22.54,23.77,19.2,22.9,118.09,55.98,300.5,210.0,381,849,62.5,61.51,3.09,4.05,4.58,35.46,17.92,16.67,5.83,87.23,28.23,594,53.29,Phil Mickelson,2015,0.2036459582633725,2016,0.560146252285192
2015_Retief Goosen,275,401,307,392,349,513,426,528,449,798,592,1130,705,845,214,262,3.39,29.5,19.12,21.53,13.28,17.98,113.85,56.57,292.6,346.5,392,519,43.75,62.19,3.02,4.09,4.72,35.58,15.97,6.41,5.16,87.21,29.04,530,44.55,Retief Goosen,2015,0.12449028544015352,2016,0.13893967093235832
2015_Rickie Fowler,251,475,254,489,320,468,413,521,479,720,503,751,699,1179,160,224,3.96,32.54,22.76,26.48,12.24,23.08,117.5,62.08,296.8,129.6,368,1498,68.75,65.81,3.0,4.03,4.59,31.61,25.22,12.94,5.02,89.76,28.44,516,55.83,Rickie Fowler,2015,0.3593187814823699,2016,0.41352833638025593
2015_Ricky Barnes,228,348,253,395,349,508,397,590,509,675,684,782,837,1090,192,348,3.45,30.41,19.52,21.77,13.43,15.42,117.94,54.1,283.3,280.8,384,347,61.54,60.47,3.02,4.09,4.72,25.28,21.01,12.22,6.28,88.17,28.31,532,46.92,Ricky Barnes,2015,0.08323338930199088,2016,0.26252285191956126
2015_Robert Allenby,198,301,286,455,326,385,372,612,485,750,590,811,889,861,210,322,3.12,24.58,17.42,18.4,12.27,16.24,109.97,63.06,282.7,1062.0,360,169,37.5,66.67,3.09,4.1,4.84,28.67,11.0,10.0,3.46,86.34,30.03,512,42.35,Robert Allenby,2015,0.040537299112497004,2016,0.0032906764168190127
2015_Robert Garrigus,245,359,250,526,350,445,360,579,436,946,676,862,646,1226,232,308,3.47,29.16,19.95,20.82,15.56,19.05,117.85,56.72,301.7,148.5,358,226,60.0,63.97,3.09,4.12,4.65,23.03,20.51,6.82,2.53,85.96,29.41,557,42.7,Robert Garrigus,2015,0.054209642600143916,2016,0.2040219378427788
2015_Robert Streb,279,356,251,459,324,550,390,597,425,856,632,1110,967,1522,219,326,3.95,30.99,22.37,26.74,12.53,22.76,116.82,59.47,297.1,220.0,373,1720,76.0,69.14,2.97,4.0,4.65,34.88,22.46,9.15,5.48,88.79,29.1,554,52.53,Robert Streb,2015,0.4125689613816263,2016,0.21572212065813529
2015_Roberto Castro,189,371,235,348,333,531,365,638,511,937,557,961,923,561,163,264,3.18,26.14,18.22,19.76,14.68,24.67,109.8,65.76,279.8,180.0,349,167,50.0,66.11,3.08,4.08,4.65,21.55,11.11,25.0,0.75,84.98,29.8,527,54.88,Roberto Castro,2015,0.04005756776205325,2016,0.2961608775137112
2015_Rory Sabbatini,217,414,275,417,307,490,367,586,474,885,671,948,762,785,199,315,3.84,30.74,21.81,22.66,18.78,26.7,111.62,60.3,290.0,208.3,361,678,66.67,67.83,3.05,3.99,4.63,25.37,18.6,14.44,7.35,87.82,28.94,547,55.45,Rory Sabbatini,2015,0.16262892780043176,2016,0.05228519195612431
2015_Russell Henley,250,385,286,484,326,518,456,549,500,997,614,1010,777,885,181,355,3.9,31.29,22.02,25.17,12.33,20.18,116.51,64.39,297.1,302.4,388,986,78.95,67.06,3.04,4.02,4.65,36.57,21.19,19.54,5.37,88.93,29.01,544,45.19,Russell Henley,2015,0.2365075557687695,2016,0.23473491773308958
2015_Russell Knox,238,343,268,438,295,488,355,562,465,917,530,977,668,985,207,360,3.72,28.13,20.83,22.09,14.22,21.43,110.22,67.76,284.4,576.0,341,914,35.0,70.83,3.02,3.98,4.72,28.05,15.79,13.07,4.94,88.03,29.56,525,43.12,Russell Knox,2015,0.21923722715279442,2016,0.7316270566727605
2015_Ryan Moore,215,282,263,449,299,480,389,665,490,638,596,888,846,1207,178,347,3.83,31.76,21.79,23.91,13.19,19.19,108.89,70.05,282.6,200.6,370,1208,62.5,65.24,3.03,4.03,4.64,29.95,19.2,10.61,5.58,88.06,28.51,517,55.86,Ryan Moore,2015,0.28975773566802593,2016,0.4515539305301645
2015_Ryan Palmer,223,313,241,486,323,481,378,623,499,880,626,848,965,681,184,298,3.73,30.48,21.36,22.89,18.98,22.49,115.11,56.57,305.2,154.0,346,817,64.71,66.81,3.04,4.01,4.67,29.79,20.18,13.16,2.89,89.69,29.0,504,49.15,Ryan Palmer,2015,0.1959702566562725,2016,0.26727605118829983
2015_Sam Saunders,243,342,265,401,315,479,373,599,482,852,661,898,915,1156,180,229,3.51,28.81,19.89,22.8,14.49,21.07,114.08,64.0,293.2,243.0,372,413,46.15,65.23,3.06,4.08,4.64,26.74,19.4,14.29,4.31,87.35,29.37,544,56.64,Sam Saunders,2015,0.09906452386663468,2016,0.11846435100548446
2015_Scott Brown,253,422,251,427,321,555,375,635,523,780,659,1162,747,946,209,242,3.66,30.24,20.9,21.6,16.49,18.68,111.87,62.77,288.2,174.6,366,690,38.89,65.18,3.02,4.03,4.66,23.96,19.73,12.9,4.66,87.97,28.56,547,54.2,Scott Brown,2015,0.16550731590309425,2016,0.23510054844606948
2015_Scott Langley,234,354,293,453,340,425,374,536,507,790,618,1073,803,1080,179,253,3.49,29.03,19.69,20.85,13.72,20.62,110.02,61.9,280.5,331.2,373,448,72.22,64.67,3.06,4.05,4.63,33.64,19.35,7.38,3.95,86.86,28.99,501,57.94,Scott Langley,2015,0.10745982249940034,2016,0.09725776965265082
2015_Scott Piercy,207,352,266,412,310,537,378,604,507,780,576,847,831,1140,185,378,3.79,30.9,21.67,24.09,16.67,19.53,115.2,59.3,296.7,162.0,363,1127,41.18,66.73,2.99,4.04,4.62,29.13,17.96,13.53,7.58,87.2,28.88,524,37.5,Scott Piercy,2015,0.270328615975054,2016,0.39378427787934184
2015_Scott Pinckney,245,420,296,445,352,507,419,669,517,820,539,745,719,726,175,328,3.57,28.96,20.45,21.49,15.91,20.46,116.53,60.95,290.3,158.4,378,645,18.75,67.61,3.07,4.04,4.68,33.91,22.73,18.87,4.81,88.13,29.48,542,49.17,Scott Pinckney,2015,0.15471336051810985,2016,0.0943327239488117
2015_Scott Stallings,240,347,306,433,330,401,397,621,485,775,650,641,822,895,240,355,3.6,29.71,20.56,20.8,17.18,19.69,114.85,57.74,291.8,180.0,387,447,63.64,65.0,3.08,4.08,4.71,32.0,20.0,12.66,1.4,85.87,29.27,519,48.39,Scott Stallings,2015,0.10721995682417847,2016,0.1619744058500914
2015_Sean O'Hair,225,360,291,429,365,518,433,701,501,1075,546,963,885,1048,196,260,3.72,30.65,21.38,21.78,17.02,18.44,114.51,60.74,295.3,140.7,398,719,52.94,64.34,3.06,3.99,4.75,33.0,16.56,14.95,7.87,87.02,28.42,562,51.77,Sean O'Hair,2015,0.17246342048452867,2016,0.19597806215722122
2015_Sergio Garcia,242,465,273,560,335,475,468,577,528,746,693,944,856,918,187,273,3.95,31.08,22.32,24.43,14.07,19.72,119.78,59.47,300.0,252.0,424,1051,57.14,67.56,3.04,4.0,4.63,32.22,19.3,10.45,10.96,87.54,28.96,568,45.56,Sergio Garcia,2015,0.2520988246581914,2016,0.47751371115173674
2015_Seung-Yul Noh,238,331,277,426,335,487,393,569,439,900,630,881,595,1166,183,254,3.66,30.73,21.03,22.22,16.44,21.32,116.99,54.87,292.7,146.3,349,432,36.36,65.9,3.11,4.05,4.66,33.53,13.46,12.94,4.59,87.37,29.31,552,51.55,Seung-Yul Noh,2015,0.10362197169585033,2016,0.1659963436928702
