py,APPROACHES_FROM_100_125_YARDS,APPROACHES_FROM_100_125_YARDS_RGH,APPROACHES_FROM_125_150_YARDS,APPROACHES_FROM_125_150_YARDS_RGH,APPROACHES_FROM_150_175_YARDS,APPROACHES_FROM_150_175_YARDS_RGH,APPROACHES_FROM_175_200_YARDS,APPROACHES_FROM_175_200_YARDS_RGH,APPROACHES_FROM_200_225_YARDS,APPROACHES_FROM_200_225_YARDS_RGH,APPROACHES_FROM_225_250_YARDS,APPROACHES_FROM_225_250_YARDS_RGH,APPROACHES_FROM_250_275_YARDS,APPROACHES_FROM_250_275_YARDS_RGH,APPROACHES_FROM_INSIDE_100_YARDS,APPROACHES_FROM_INSIDE_100_YARDS_RGH,BIRDIE_AVE,BIRDIE_OR_BETTER_CONVESION_PERCENTAGE,BIRDIE_OR_BETTER_PERCENTAGE,BIRDIE_OR_BETTER_PERCENTAGE_FAIRWAY,BIRDIE_OR_BETTER_PERCENTAGE_ROUGH,BOUNCE_BACK,CLUB_HEAD_SPEED,DRIVING_ACCURACY_PERCENTAGE,DRIVING_DISTANCE,EAGLES_HOLES_PER,FAIRWAY_PROXIMITY,FEDEX_REGULAR_SEASON_POINTS,FINAL_ROUND_PERFORMANCE,GREENS_IN_REGULATION_PERCENTAGE,PAR_3_SCORING_AVERAGE,PAR_4_SCORING_AVERAGE,PAR_5_SCORING_AVERAGE,PUTTING_FROM_10_15ft,PUTTING_FROM_15_20ft,PUTTING_FROM_20_25ft,PUTTING_FROM_25ft_plus,PUTTING_INSIDE_10ft,PUTTS_PER_ROUND,ROUGH_PROXIMITY,SAND_SAVE_PERCENTAGE,PLAYER,SEASON_CURRENT,PERCENTAGE_OF_WINNING_PTS,SEASON_NEXT,NEXT_PERCENTAGE_OF_WINNING_PTS
2010_Camilo Villegas,214,343,282,390,317,491,414,577,432,642,580,917,827,871,192,275,3.5,29.01,19.91,21.13,15.53,16.5,114.77,61.66,289.6,216.0,370,1213,52.94,66.05,3.06,4.04,4.72,21.05,18.18,14.71,6.44,86.55,29.43,499,50.83,Camilo Villegas,2010,0.6570964247020585,2011,0.20724029380902415
2010_Carl Pettersson,227,324,260,389,331,550,434,594,514,815,579,1012,729,682,196,316,3.54,29.82,20.15,22.36,12.32,20.16,109.72,62.82,282.1,198.0,364,1142,50.0,63.8,3.08,3.97,4.78,35.29,19.14,13.43,8.07,89.11,28.24,507,62.94,Carl Pettersson,2010,0.6186348862405201,2011,0.36253934942287513
2010_Chad Campbell,225,247,257,426,303,517,365,601,483,712,567,1129,742,1047,211,267,3.51,26.69,19.77,21.04,15.02,22.69,112.57,69.01,285.1,334.8,347,551,57.89,69.06,2.98,4.02,4.77,26.09,15.76,10.48,4.3,87.46,29.54,511,52.67,Chad Campbell,2010,0.29848320693391117,2011,0.31007345225603355
2010_Charles Howell III,250,318,330,410,341,465,379,648,513,871,734,962,810,976,197,291,3.53,27.46,20.12,20.89,16.88,21.56,117.85,54.58,294.3,206.0,387,746,78.26,68.57,3.03,4.0,4.6,33.47,16.46,9.49,4.39,89.85,28.96,511,50.0,Charles Howell III,2010,0.40411700975081255,2011,0.5965372507869885
2010_Charley Hoffman,223,449,258,393,315,467,399,508,487,664,561,956,674,969,220,303,3.95,32.93,22.61,24.83,14.89,27.78,118.88,61.59,298.2,153.0,362,546,47.06,66.53,3.04,4.0,4.57,31.53,20.59,10.16,6.25,86.48,28.73,486,50.0,Charley Hoffman,2010,0.29577464788732394,2011,0.391395592864638
2010_Charlie Wi,232,328,287,380,307,573,403,611,502,717,654,815,917,980,183,231,3.61,29.64,20.35,21.76,12.63,15.67,112.08,64.19,281.2,342.0,365,690,45.0,66.55,3.05,3.98,4.7,36.25,25.75,13.24,6.67,87.43,28.58,532,58.27,Charlie Wi,2010,0.37378114842903576,2011,0.31007345225603355
2010_Chris Couch,280,381,322,339,330,463,415,551,536,712,598,542,732,836,210,303,4.02,32.32,22.9,24.97,17.44,22.35,122.06,65.87,292.4,169.7,407,472,60.0,66.5,3.07,3.99,4.67,35.54,17.95,20.0,6.27,87.36,28.77,456,47.79,Chris Couch,2010,0.25568797399783316,2011,0.3006295907660021
2010_Chris DiMarco,207,310,267,399,342,480,402,559,520,935,608,1145,894,824,181,280,3.31,26.65,18.69,19.76,14.53,23.53,107.97,70.13,279.0,316.8,379,286,26.32,67.39,3.0,4.01,4.74,27.04,15.43,10.91,6.58,86.36,29.15,489,50.37,Chris DiMarco,2010,0.15492957746478872,2011,0.26180482686253936
2010_Chris Riley,214,337,281,363,336,502,429,509,495,855,602,855,822,973,196,233,3.36,27.13,19.03,22.01,10.45,20.63,109.13,68.7,278.3,262.8,368,512,83.33,67.33,3.03,3.99,4.71,27.72,17.97,11.96,5.47,88.91,29.0,479,56.86,Chris Riley,2010,0.27735644637053086,2011,0.15320041972717732
2010_Chris Stroud,218,338,267,438,319,497,411,664,489,753,624,601,859,1112,200,261,3.64,27.3,20.37,21.01,16.19,22.86,112.09,62.98,287.2,810.0,372,369,68.75,69.31,3.13,4.01,4.66,31.19,20.0,11.57,3.92,87.19,29.77,506,50.38,Chris Stroud,2010,0.19989165763813652,2011,0.2166841552990556
2010_D.A. Points,223,321,274,438,331,534,391,646,489,721,630,946,843,885,195,266,3.47,27.01,19.63,20.8,16.49,17.81,110.73,64.52,283.0,270.0,372,544,53.33,67.9,3.06,4.04,4.69,34.17,20.63,9.6,6.12,85.35,29.74,538,45.45,D.A. Points,2010,0.29469122426868904,2011,0.5535152151101784
2010_D.J. Trahan,237,416,268,396,315,472,393,440,487,676,610,672,690,1115,207,267,3.8,29.65,21.8,23.34,15.99,24.9,115.99,61.4,301.1,150.5,363,577,83.33,71.26,3.11,4.01,4.59,29.41,18.82,11.27,4.46,85.33,30.02,468,48.25,D.J. Trahan,2010,0.3125677139761647,2011,0.20566631689401887
2010_David Duval,209,336,269,328,304,600,372,675,460,828,617,852,795,762,211,249,3.54,28.87,19.87,23.57,14.03,22.44,114.6,57.08,286.9,426.0,355,404,50.0,66.1,2.97,4.1,4.83,32.12,20.59,15.38,5.45,86.93,29.48,504,44.21,David Duval,2010,0.218851570964247,2011,0.10020986358866736
2010_David Toms,223,356,245,408,345,494,364,718,437,783,571,914,883,1608,193,246,3.74,30.17,21.05,22.5,13.09,20.0,107.18,71.88,281.3,382.5,350,748,66.67,67.58,2.97,4.01,4.72,33.68,16.55,17.39,5.65,88.01,28.89,536,50.0,David Toms,2010,0.40520043336944744,2011,0.8069254984260231
2010_Davis Love III,256,358,289,401,329,506,391,517,459,725,617,677,594,875,207,284,3.51,27.29,20.32,21.92,16.75,22.32,117.68,64.2,297.7,118.5,363,475,40.0,70.25,3.04,4.07,4.6,28.34,17.61,14.14,4.63,86.35,30.24,477,36.94,Davis Love III,2010,0.2573131094257855,2011,0.29223504721930743
2010_Dean Wilson,202,313,266,383,339,486,385,620,461,683,534,866,807,1298,202,226,3.56,28.02,19.86,21.36,14.38,22.32,108.94,67.37,281.6,972.0,354,434,77.78,68.98,2.99,3.97,4.72,33.58,16.28,17.81,6.6,89.1,28.79,515,46.97,Dean Wilson,2010,0.23510292524377033,2011,0.16684155299055614
2010_Derek Lamely,303,412,312,420,352,534,441,657,501,904,667,1096,665,1051,206,257,3.31,27.97,19.0,20.58,13.94,19.05,116.34,54.84,294.0,162.0,411,487,50.0,61.93,3.02,4.1,4.72,28.85,21.26,15.15,7.47,86.07,29.17,532,47.92,Derek Lamely,2010,0.2638136511375948,2011,0.06453305351521511
2010_Dustin Johnson,253,396,276,431,332,563,417,562,460,617,568,718,713,968,235,246,3.94,32.57,22.97,26.03,18.61,21.37,121.94,56.35,308.5,92.3,378,1362,52.63,67.95,3.05,4.03,4.58,28.57,16.5,11.0,7.49,86.79,29.37,484,44.78,Dustin Johnson,2010,0.7378114842903575,2011,0.6248688352570829
2010_Ernie Els,216,345,289,335,347,473,385,604,510,596,668,1061,827,670,153,284,3.79,29.51,21.27,23.35,20.43,19.08,113.92,60.16,288.4,420.0,388,1846,68.75,67.86,3.13,3.98,4.63,29.68,25.27,17.72,3.94,88.67,28.99,477,48.44,Ernie Els,2010,1.0,2011,0.18730325288562436
2010_Freddie Jacobson,210,299,288,449,312,528,411,632,490,808,666,1069,826,1064,188,247,3.65,29.12,20.48,23.56,11.31,19.49,113.96,62.16,283.1,498.0,366,826,75.0,67.8,3.0,3.99,4.76,34.01,18.59,11.2,8.38,87.38,28.93,509,50.0,Freddie Jacobson,2010,0.447453954496208,2011,0.6479538300104932
2010_Garrett Willis,190,374,291,426,309,456,377,675,483,993,697,1113,869,1069,191,247,3.7,28.88,20.87,22.11,14.36,22.67,109.74,70.44,280.2,295.2,380,517,73.33,69.87,3.03,4.04,4.71,31.78,18.79,14.81,3.15,86.6,29.65,545,46.9,Garrett Willis,2010,0.2800650054171181,2011,0.1416579223504722
2010_Geoff Ogilvy,227,289,288,347,315,424,382,564,497,612,622,721,693,985,167,285,3.92,31.46,21.85,25.63,16.83,19.08,114.08,57.94,287.0,1080.0,362,815,41.67,67.69,3.08,4.02,4.67,34.94,24.51,8.0,6.51,88.28,29.22,444,57.28,Geoff Ogilvy,2010,0.44149512459371615,2011,0.29958027282266525
2010_George McNeill,231,384,307,478,364,516,387,535,478,671,718,775,692,717,221,363,3.73,30.56,21.31,21.91,21.58,21.25,116.81,54.34,293.4,177.8,385,338,58.33,66.03,3.05,4.05,4.71,34.83,19.67,10.78,4.97,87.84,29.32,523,50.36,George McNeill,2010,0.18309859154929578,2011,0.3641133263378804
